asset_number,asset_description,lamp_type_lupvalue,lamp_rating_w,mounting_type_lupvalue,lat,lon,location
1541775,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.82375745012664,144.94746952432803,"(-37.82375745012664, 144.94746952432803)"
1539873,Feature Lighting - Newquay Promenade between Saint Mangos Lane and Aquitania Way,9,,Pole: Multiple Fixed,-37.81471908747963,144.94222409786457,"(-37.81471908747963, 144.94222409786457)"
1540606,Feature Lighting - River Esplanade between Webb Bridge and Swinging Basin Lane,9,10,Pole: Multiple Fixed,-37.82432544621336,144.9439597663016,"(-37.82432544621336, 144.9439597663016)"
1542874,Feature Lighting -,12,,Pole: Multiple Fixed,-37.82373114226827,144.9472654334991,"(-37.82373114226827, 144.9472654334991)"
1348235,Feature Lighting - Docklands,1,35,Inground,-37.82383509083211,144.94793196116314,"(-37.82383509083211, 144.94793196116314)"
1539190,Feature Lighting - Rakaia Way between Caravel Lane and Newquay Promenade,9,,Wall,-37.81492715337196,144.9412076620118,"(-37.81492715337196, 144.9412076620118)"
1542577,Feature Lighting -,9,,Pole: Multiple Fixed,-37.82274773430749,144.94680216284598,"(-37.82274773430749, 144.94680216284598)"
1541237,Feature Lighting - Little Bourke Street between Exhibition Street and Russell Street,13,14,Pole: Multiple Fixed,-37.811143330398274,144.96989294884838,"(-37.811143330398274, 144.96989294884838)"
1347129,Feature Lighting - Docklands,3,36,Parapet,-37.817812877748594,144.94884482273827,"(-37.817812877748594, 144.94884482273827)"
1540239,Feature Lighting - Birrarung Marr,,35,Pole: Multiple Fixed,-37.819830358133046,144.975007250869,"(-37.819830358133046, 144.975007250869)"
1347004,Feature Lighting - Docklands,3,36,Parapet,-37.81762044412099,144.94894017742695,"(-37.81762044412099, 144.94894017742695)"
1540185,Feature Lighting - Victoria Harbour Promenade between Enterprize Way and Cumberland Street,13,35,Pole: Multiple Fixed,-37.818875360179696,144.94317164106604,"(-37.818875360179696, 144.94317164106604)"
1512988,Feature Lighting - Flood Lighting - JJ Holland Park,,,,-37.79818794439017,144.92425120066244,"(-37.79818794439017, 144.92425120066244)"
1487866,Feature Lighting - Docklands,,,,-37.815853985894094,144.93940179450004,"(-37.815853985894094, 144.93940179450004)"
1347391,Feature Lighting - Docklands,1,18,Wall,-37.824207360203694,144.94753876144526,"(-37.824207360203694, 144.94753876144526)"
