Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,613,595153,109643,166 Albert Street,East Melbourne,Cohen Cellars Wine Bar,40,"(-37.81004657, 144.9856254)"
2017,6,578327,573333,2 Swanston Street,Melbourne (CBD),Zinc at Federation Square,"1,000","(-37.81784465, 144.9699175)"
2017,97,105493,105493,52 La Trobe Street,Melbourne (CBD),Karaoke Box,300,"(-37.80828608, 144.9672465)"
2017,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Rainbow Karaoke,400,"(-37.81259409, 144.9668768)"
2017,46,108537,108537,131-141 Russell Street,Melbourne (CBD),QT Melbourne,185,"(-37.81342885, 144.967831)"
2017,419,108876,108876,573-579 Spencer Street,West Melbourne (Residential),McMahons,160,"(-37.80740767, 144.9469867)"
2017,74,108103,108103,244-250 Queen Street,Melbourne (CBD),Bar 420,200,"(-37.81269018, 144.959964)"
2017,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),The Toff In Town,342,"(-37.81199559, 144.9652504)"
2017,804,110542,110484,20-30 Convention Centre Place,Southbank,Aerial Events,900,"(-37.82539976, 144.9523782)"
2017,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Strike Bowling,370,"(-37.810658, 144.9657034)"
2017,66,105694,105694,233-237 Lonsdale Street,Melbourne (CBD),The Emerald Peacock,300,"(-37.81158031, 144.9655481)"
2017,4,104034,104034,207-361 Flinders Street,Melbourne (CBD),Clocks At Flinders Street Station,300,"(-37.81866105, 144.9654659)"
2017,730,110473,110473,65-73 Haig Street,Southbank,The Backlot Studios,78,"(-37.82791506, 144.95658)"
2017,15,109257,109257,1-7 Swanston Street,Melbourne (CBD),Young & Jacksons,470,"(-37.817356, 144.967023)"
2017,12,103994,103994,502-504 Flinders Street,Melbourne (CBD),Insignia on Flinders,100,"(-37.82005619, 144.9576571)"
2017,66,109390,109390,264-266 Swanston Street,Melbourne (CBD),Goldilocks,300,"(-37.81181063, 144.9651474)"
2017,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transit Rooftop Bar,200,"(-37.81784465, 144.9699175)"
2017,267,106251,106251,66-88 Lygon Street,Carlton,Lagers On Lygon,80,"(-37.80530329, 144.9665747)"
2017,105,109318,109318,427-457 Swanston Street,Melbourne (CBD),The Oxford Scholar Hotel,486,"(-37.80826292, 144.9626932)"
2017,252,106244,106244,160-162 Lygon Street,Carlton,Vodka Temple,200,"(-37.80344164, 144.9667699)"
2017,16,104020,104020,150-162 Flinders Street,Melbourne (CBD),Forum Theatre Bar,"1,500","(-37.81648541, 144.9693866)"
2017,46,105964,105964,188-194 Little Collins Street,Melbourne (CBD),Gin Palace,150,"(-37.81390779, 144.9675807)"
2017,347,110920,110920,161-163 Errol Street,North Melbourne,Limerick Castle Hotel & Restaurant,50,"(-37.80114341, 144.9496139)"
2017,33,108067,108067,103-105 Queen Street,Melbourne (CBD),Chaise Lounge,140,"(-37.81614776, 144.9608476)"
